name, Exec Time, Iterations, Prep Time, Weight, Edges
random-Gnm-1000000x1000000.gr,102.9,8,33.5,36483787,837935,
2nd run,99.5,8,30.95,36483787,837935,
random-Gnm-1000000x10000000.gr,252.7,8,19.05,6470014,999999,
2nd run,228.4,8,17.21,6470014,999999,
random-Gnm-1000000x100000000.gr,562.4,4,17.11,1178537,999999,
2nd run,471.0,4,16.08,1178537,999999,
random-Gnm-1000000x20000000.gr,283.2,6,17.95,3494769,999999,
2nd run,291.4,6,17.77,3494769,999999,
random-Gnm-1000000x5000000.gr,163.5,8,17.13,12408996,999951,
2nd run,166.5,8,16.16,12408996,999951,
random-Gnm-1000000x50000000.gr,531.3,7,16.41,1734820,999999,
2nd run,528.4,7,16.0,1734820,999999,
rmat-1000000x1000000-a0.45b0.15c0.15d0.25.gr,75.5,7,19.66,13901358,447788,
2nd run,74.3,7,18.75,13901358,447788,
rmat-1000000x10000000-a0.45b0.15c0.15d0.25.gr,96.4,4,10.78,3108966,524048,
2nd run,98.4,4,10.27,3108966,524048,
rmat-1000000x100000000-a0.45b0.15c0.15d0.25.gr,298.3,3,14.29,643519,524287,
2nd run,290.7,3,13.35,643519,524287,
rmat-1000000x20000000-a0.45b0.15c0.15d0.25.gr,135.6,4,11.04,1709932,524280,
2nd run,117.1,4,10.88,1709932,524280,
rmat-1000000x5000000-a0.45b0.15c0.15d0.25.gr,87.9,5,11.36,5646423,521678,
2nd run,87.9,5,10.78,5646423,521678,
rmat-1000000x50000000-a0.45b0.15c0.15d0.25.gr,178.7,3,11.94,882467,524287,
2nd run,184.9,3,11.81,882467,524287,
ssca2-1000000x11820688-interclpr0.5-maxcls20.gr,595.5,12,392.69,7593428,999526,
2nd run,548.9,12,367.12,7593428,999526,
ssca2-1000000x119753704-interclpr0.5-maxcls200.gr,2875.0,11,1870.9,1361194,999992,
2nd run,2391.2,11,1551.07,1361194,999992,
ssca2-1000000x2797005-interclpr0.25-maxcls5.gr,99.8,8,26.78,25469223,949283,
2nd run,98.5,8,25.83,25469223,949283,
ssca2-1000000x29698831-interclpr0.5-maxcls50.gr,1088.1,12,747.64,3498701,999915,
2nd run,1239.5,12,878.99,3498701,999915,
ssca2-1000000x3193176-interclpr0.5-maxcls5.gr,140.3,11,37.44,21824111,993240,
2nd run,141.2,11,38.14,21824111,993240,
ssca2-1000000x5697981-interclpr0.25-maxcls10.gr,695.5,11,584.68,15859009,985246,
2nd run,699.9,11,587.4,15859009,985246,
ssca2-1000000x59618475-interclpr0.5-maxcls100.gr,1525.7,11,942.48,2044606,999983,
2nd run,1383.2,11,903.23,2044606,999983,
